time_s,theta_x_rad,theta_y_rad,theta_z_rad,omega_x_rad_s,omega_y_rad_s,omega_z_rad_s,torque_x_Nm,torque_y_Nm,torque_z_Nm
0.0,0.30172,-0.20085,0.1513125,0.0172,-0.0085,0.013125,-0.27999999999999997,0.18000000000000002,-0.15
0.1,0.303164224,-0.20155193333333332,0.15244087499999998,0.01444224,-0.007019333333333334,0.011283749999999999,-0.275776,0.17768,-0.1473
0.2,0.3043370321408,-0.2021077998222222,0.15338859974999997,0.011728081408,-0.005558664888888889,0.0094772475,-0.2714158592,0.17528021333333335,-0.1445202
0.30000000000000004,0.30524291449307134,-0.2025196633364148,0.15415924278149998,0.009058823522713599,-0.004118635141925927,0.007706430314999999,-0.26692578852864,0.17280356963555554,-0.14166537479999997
0.4,0.30588648486670283,-0.20278964934981325,0.15475646049443098,0.006435703736314756,-0.0026998601339843957,0.005972177129309999,-0.26231197863988426,0.1702530009529837,-0.1387402548552
0.5,0.3062724746449683,-0.20291994249675518,0.15518399130404428,0.0038598977826548382,-0.0013029314694192342,0.004275308096132939,-0.25758059536599176,0.16763143974781938,-0.1357495226541648
0.6000000000000001,0.3064057266479525,-0.20291278412958358,0.1554456498521132,0.0013325200298419946,7.158367171612116e-05,0.002616585480689172,-0.2527377752812843,0.16494181693624263,-0.1326978092355013
0.7000000000000001,0.30629118902955865,-0.20277046987911176,0.1555453212866283,-0.0011453761839384656,0.0014231425047180762,0.0009967143451508106,-0.247789621378046,0.1621870599602346,-0.1295896908430689
0.8,0.30593390921230906,-0.20249534721956175,0.15548695561399387,-0.0035727981724961656,0.0027512265955001868,-0.0005836567263442427,-0.24274219885577,0.15937009089385326,-0.12642968571960425
0.9,0.3053390278640346,-0.20208981303952453,0.1552745621275613,-0.005948813482744715,0.004055341800372262,-0.0021239348643255756,-0.23760153102485493,0.15649382458464903,-0.1232222510385066
1.0,0.3045117729204344,-0.20155631122046158,0.154912203916162,-0.008272549436002098,0.005335018190629555,-0.0036235821139930496,-0.23237359532573826,0.15356116683087512,-0.11997177997339789
1.1,0.30345745365736987,-0.20089733022423603,0.1544039924561315,-0.010543192630645532,0.0065898099622554735,-0.005082114600304844,-0.22706431946434333,0.15057501259511016,-0.11668259890494351
1.2000000000000002,0.3021814548166407,-0.20011540069113143,0.15375408229014564,-0.01275998840729158,0.007819295331046123,-0.006499101659858538,-0.22167957766460486,0.14753824425487788,-0.11335896476429552
