time_s,theta_x_rad,theta_y_rad,theta_z_rad,omega_x_rad_s,omega_y_rad_s,omega_z_rad_s,torque_cmd_x_Nm,torque_cmd_y_Nm,torque_cmd_z_Nm,torque_applied_x_Nm,torque_applied_y_Nm,torque_applied_z_Nm,pointing_error_rad,torque_limited_sample,saturation_events_so_far,health_state
0.0,0.30019799999999996,-0.20009849820271333,0.15014814013695998,0.0198,-0.009849820271333333,0.014814013696,-0.2791103923,0.1802156744,-0.1487890432,-0.2,0.1802156744,-0.1487890432,0.3907719439437399,1,1,POINTING_FAULT
0.1,0.3020680000000001,-0.2010011233319592,0.15152755943504245,0.017800000000000014,-0.00835855445975,0.01296069464725,-0.2764873164,0.1786989183,-0.1473136542,-0.2,0.1786989183,-0.1473136542,0.3932011310678669,1,1,POINTING_FAULT
0.2,0.3037380000000001,-0.20175570607506252,0.15272291191662496,0.015800000000000026,-0.0068826182720833325,0.011135816104750004,-0.2729376989,0.1770139939,-0.1449913054,-0.2,0.1770139939,-0.1449913054,0.3953307797302662,1,1,POINTING_FAULT
0.3,0.305208,-0.2023634783077475,0.1537371521787525,0.01380000000000002,-0.005423249980083332,0.009336440120000004,-0.2714012162,0.1735409439,-0.142470374,-0.2,0.1735409439,-0.142470374,0.39716245111647086,1,1,POINTING_FAULT
0.4,0.30647800000000014,-0.20282715946226834,0.15457398326819252,0.011800000000000015,-0.003995512192999999,0.007582132521500003,-0.2688008993,0.1702006144,-0.1402018864,-0.2,0.1702006144,-0.1402018864,0.3986988053693264,1,1,POINTING_FAULT
0.5,0.3075480000000001,-0.20314893678418336,0.15523749680802626,0.00980000000000001,-0.0025835882458333324,0.005865180270250003,-0.2665900716,0.1681363326,-0.137773808,-0.2,0.1681363326,-0.137773808,0.39994242490109266,1,1,POINTING_FAULT
0.6,0.308418,-0.20333047858614756,0.15573052362671252,0.007800000000000006,-0.0011911733578333324,0.004172749097625003,-0.2631306272,0.1655024556,-0.1340933033,-0.2,0.1655024556,-0.1340933033,0.40089517611854836,1,1,POINTING_FAULT
0.7000000000000001,0.30908800000000014,-0.2033743811834892,0.1560568086468062,0.005800000000000009,0.00017452943333333458,0.0025238064697500028,-0.2603388279,0.1652160282,-0.1309662188,-0.2,0.1652160282,-0.1309662188,0.4015597815902299,1,1,POINTING_FAULT
0.8,0.30955800000000006,-0.2032824694804076,0.15622037762967622,0.003800000000000012,0.0015202466408333346,0.0009196202897500026,-0.2558608332,0.1579775628,-0.1262127604,-0.2,0.1579775628,-0.1262127604,0.4019387069551918,1,1,POINTING_FAULT
0.9,0.30982800000000005,-0.20305765278018675,0.15622608170595373,0.0018000000000000112,0.0028422635055000006,-0.0006418935862499975,-0.2514968887,0.1572993158,-0.1229065208,-0.2,0.1572993158,-0.1229065208,0.40203530758105593,1,1,POINTING_FAULT
1.0,0.3098980000000001,-0.2027018457234734,0.15607687033215123,-0.0001999999999999891,0.004140777865750001,-0.0021843742288749977,-0.2469168422,0.1554052027,-0.1204020015,-0.2,0.1554052027,-0.1204020015,0.4018517116006625,1,1,POINTING_FAULT
1.1,0.309768,-0.20221737567467007,0.15577561600780623,-0.0021999999999999897,0.005415691918333333,-0.0036861185878749973,-0.2457759032,0.149502462,-0.1192234735,-0.2,0.149502462,-0.1192234735,0.40139023828608755,1,1,POINTING_FAULT
1.2,0.3094380000000001,-0.2016069249505634,0.1553271490249137,-0.00419999999999999,0.006664740751833334,-0.005130368730124997,-0.2403173393,0.148276417,-0.1135897817,-0.2,0.148276417,-0.1135897817,0.4006541541731845,1,1,POINTING_FAULT
1.3,0.3089080000000001,-0.2008728798989809,0.15473582940543995,-0.006199999999999987,0.007888566061583334,-0.006542512529624996,-0.2363159485,0.1463830155,-0.1084176091,-0.2,0.1463830155,-0.1084176091,0.39964639776269706,1,1,POINTING_FAULT
1.4000000000000001,0.30817799999999995,-0.20001745423596926,0.1540064946111362,-0.008199999999999985,0.009093828063916667,-0.007900181706999996,-0.2292658574,0.1442438603,-0.1073913102,-0.2,0.1442438603,-0.1073913102,0.398370006483229,1,1,POINTING_FAULT
1.5,0.30724800000000013,-0.1990433185019276,0.15314264773904745,-0.01019999999999999,0.010263334269916664,-0.009239057323749992,-0.2265685237,0.1364270151,-0.106114003,-0.2,0.1364270151,-0.106114003,0.3968277292488339,1,1,POINTING_FAULT
1.6,0.3061180000000001,-0.19795409116984589,0.15214752342752869,-0.012199999999999996,0.011402852797666669,-0.010526285086374992,-0.2215077604,0.1338472038,-0.1002267239,-0.2,0.1338472038,-0.1002267239,0.3950226841840986,1,1,POINTING_FAULT
1.7,0.304788,-0.19675219799776256,0.1510265408766674,-0.0142,0.012522560812250002,-0.011760580430999989,-0.215096072,0.1358706007,-0.0952665924,-0.2,0.1358706007,-0.0952665924,0.39295822730936997,1,1,POINTING_FAULT
1.8,0.30325800000000014,-0.1954396209554934,0.1497846096392399,-0.016200000000000003,0.01361138600216667,-0.012956373532499989,-0.2100166782,0.1293976822,-0.0938579548,-0.2,0.1293976822,-0.0938579548,0.3906372860954347,1,1,POINTING_FAULT
1.9000000000000001,0.3015280000000001,-0.1940195493660784,0.14842470350523237,-0.01819999999999999,0.014676555904583334,-0.01411421264074999,-0.2047623145,0.1237071493,-0.0935657158,-0.2,0.1237071493,-0.0935657158,0.3880626404729426,1,1,POINTING_FAULT
2.0,0.29959801622008503,-0.19249463055499338,0.14695152359712865,-0.02019837799149998,0.01571805601808333,-0.015229074082124986,-0.1983779915,0.1244667527,-0.0861252249,-0.1983779915,0.1244667527,-0.0861252249,0.3852374649525033,0,1,POINTING_FAULT
2.1,0.29746942703044704,-0.1908668708632984,0.14536973742542866,-0.022166844968499973,0.016732582617333326,-0.016293724028374985,-0.1951901621,0.1197084796,-0.0825580959,-0.1951901621,0.1197084796,-0.0825580959,0.3821656486003256,0,2,POINTING_FAULT
2.2,0.29514653523035095,-0.1891396837767534,0.14368339676505992,-0.024089362397199974,0.017709961687666653,-0.017327123498374987,-0.1883383918,0.1145634812,-0.0826509485,-0.1883383918,0.1145634812,-0.0826509485,0.3788538184360779,0,2,POINTING_FAULT
2.3000000000000003,0.29263480667025193,-0.1873160785143884,0.14189664680554867,-0.02594843329199997,0.01866111103549999,-0.018303766226999987,-0.1829215976,0.1136650266,-0.0805825266,-0.1829215976,0.1136650266,-0.0805825266,0.37530934137002625,0,2,POINTING_FAULT
2.4,0.28994014487543485,-0.1853989969552034,0.1400126989422799,-0.027753868654299973,0.019586408578083327,-0.01926248515712499,-0.1773586211,0.1116754247,-0.0730897215,-0.1773586211,0.1116754247,-0.0730897215,0.37153954237400516,0,2,POINTING_FAULT
2.5,0.28706902015137786,-0.1833912583073742,0.1380363120954749,-0.029492155522499973,0.020476641047083327,-0.02016761982987499,-0.1720652267,0.1039842985,-0.0723312041,-0.1720652267,0.1039842985,-0.0723312041,0.3675527165062905,0,2,POINTING_FAULT
